intern_id,course_id,event_type,timestamp,value
i2002,c1135,view,2024-02-28T00:00:00,
i2299,c1029,view,2025-03-31T00:00:00,
i2021,c1003,start,2024-11-02T00:00:00,
i2394,c1128,complete,2024-09-26T00:00:00,1.0
i2453,c1075,view,2025-06-16T00:00:00,
i2159,c1072,view,2025-08-10T00:00:00,
i2357,c1167,start,2025-04-03T00:00:00,
i2219,c1084,rating,2025-09-28T00:00:00,3.8266765505610483
i2152,c1012,start,2025-05-08T00:00:00,
i2283,c1039,start,2024-04-17T00:00:00,
i2455,c1176,view,2024-10-28T00:00:00,
i2085,c1083,complete,2024-04-28T00:00:00,1.0
i2342,c1156,start,2024-07-24T00:00:00,
i2148,c1034,start,2024-11-20T00:00:00,
i2292,c1170,complete,2024-02-11T00:00:00,1.0
i2299,c1119,view,2024-04-11T00:00:00,
i2266,c1169,view,2024-05-30T00:00:00,
i2227,c1198,view,2024-12-24T00:00:00,
i2377,c1020,view,2025-09-22T00:00:00,
i2242,c1041,view,2024-07-17T00:00:00,
i2241,c1103,rating,2025-06-08T00:00:00,3.7651598858903457
i2100,c1174,view,2025-07-15T00:00:00,
i2391,c1017,complete,2024-05-14T00:00:00,1.0
i2254,c1109,view,2024-05-12T00:00:00,
i2155,c1161,view,2024-05-21T00:00:00,
i2420,c1169,view,2024-05-09T00:00:00,
i2428,c1005,view,2025-08-05T00:00:00,
i2498,c1181,start,2024-08-18T00:00:00,
i2245,c1092,start,2025-01-23T00:00:00,
i2471,c1027,rating,2024-01-25T00:00:00,3.1296738009368745
i2174,c1103,view,2024-07-05T00:00:00,
i2265,c1046,view,2024-05-22T00:00:00,
i2130,c1184,view,2024-11-24T00:00:00,
i2454,c1037,view,2025-05-13T00:00:00,
i2088,c1131,view,2024-07-22T00:00:00,
i2377,c1020,start,2025-09-26T00:00:00,
i2228,c1162,view,2025-06-21T00:00:00,
i2472,c1001,complete,2024-01-23T00:00:00,1.0
i2302,c1116,view,2025-07-29T00:00:00,
i2273,c1035,start,2025-04-11T00:00:00,
i2250,c1171,rating,2025-05-07T00:00:00,2.67780640373406
i2242,c1169,rating,2025-08-05T00:00:00,3.4317700440964884
i2055,c1153,view,2025-03-26T00:00:00,
i2393,c1190,view,2025-06-19T00:00:00,
i2084,c1177,view,2025-06-13T00:00:00,
i2014,c1144,view,2024-02-15T00:00:00,
i2409,c1154,view,2024-12-08T00:00:00,
i2033,c1198,rating,2024-11-27T00:00:00,3.832593075137113
i2445,c1190,start,2024-06-26T00:00:00,
i2475,c1122,start,2025-04-23T00:00:00,
i2234,c1174,view,2025-01-14T00:00:00,
i2131,c1158,view,2024-12-12T00:00:00,
i2107,c1092,start,2024-12-31T00:00:00,
i2202,c1076,view,2025-09-02T00:00:00,
i2380,c1184,complete,2024-05-02T00:00:00,1.0
i2409,c1013,start,2024-01-25T00:00:00,
i2005,c1193,view,2024-04-04T00:00:00,
i2435,c1008,start,2025-09-27T00:00:00,
i2366,c1162,view,2025-03-16T00:00:00,
i2007,c1191,rating,2024-03-14T00:00:00,4.963805708205654
i2290,c1173,view,2025-03-17T00:00:00,
i2260,c1196,view,2024-03-21T00:00:00,
i2042,c1179,view,2024-04-16T00:00:00,
i2159,c1194,view,2024-06-08T00:00:00,
i2147,c1102,rating,2025-03-30T00:00:00,4.077671302165736
i2445,c1040,view,2024-11-27T00:00:00,
i2222,c1070,view,2024-01-11T00:00:00,
i2440,c1123,view,2025-03-02T00:00:00,
i2453,c1038,view,2025-03-18T00:00:00,
i2118,c1080,view,2025-04-16T00:00:00,
i2354,c1000,view,2025-02-27T00:00:00,
i2201,c1093,view,2024-02-09T00:00:00,
i2310,c1143,complete,2024-07-27T00:00:00,1.0
i2408,c1059,start,2025-03-15T00:00:00,
i2032,c1035,view,2024-03-11T00:00:00,
i2329,c1114,view,2025-01-29T00:00:00,
i2443,c1118,view,2025-04-09T00:00:00,
i2292,c1106,start,2025-03-12T00:00:00,
i2461,c1188,view,2024-08-26T00:00:00,
i2066,c1098,start,2025-01-05T00:00:00,
i2068,c1105,view,2024-10-22T00:00:00,
i2161,c1087,view,2025-09-07T00:00:00,
i2091,c1056,complete,2024-02-13T00:00:00,1.0
i2411,c1006,start,2025-03-30T00:00:00,
i2062,c1028,start,2024-10-05T00:00:00,
i2170,c1131,complete,2024-03-13T00:00:00,1.0
i2282,c1023,complete,2025-01-18T00:00:00,1.0
i2198,c1071,complete,2024-10-06T00:00:00,1.0
i2404,c1134,view,2024-11-23T00:00:00,
i2146,c1164,complete,2024-09-27T00:00:00,1.0
i2102,c1183,view,2025-05-04T00:00:00,
i2170,c1103,view,2024-02-28T00:00:00,
i2475,c1042,view,2025-07-31T00:00:00,
i2432,c1148,view,2024-07-20T00:00:00,
i2486,c1142,view,2024-10-26T00:00:00,
i2233,c1177,start,2024-12-26T00:00:00,
i2478,c1022,view,2024-03-31T00:00:00,
i2060,c1034,start,2024-05-23T00:00:00,
i2464,c1192,view,2024-08-11T00:00:00,
i2406,c1024,view,2024-12-19T00:00:00,
i2382,c1069,start,2025-06-12T00:00:00,
i2069,c1176,start,2025-02-28T00:00:00,
i2049,c1156,view,2024-12-23T00:00:00,
i2028,c1071,rating,2025-02-19T00:00:00,3.5393777805953444
i2063,c1066,complete,2025-01-02T00:00:00,1.0
i2150,c1156,view,2025-05-04T00:00:00,
i2149,c1025,complete,2025-04-09T00:00:00,1.0
i2016,c1040,complete,2024-11-01T00:00:00,1.0
i2295,c1064,start,2024-12-18T00:00:00,
i2273,c1166,start,2025-05-07T00:00:00,
i2444,c1154,start,2024-04-01T00:00:00,
i2224,c1148,view,2024-07-30T00:00:00,
i2408,c1142,view,2024-06-30T00:00:00,
i2062,c1071,view,2025-05-16T00:00:00,
i2488,c1051,view,2025-07-18T00:00:00,
i2076,c1136,start,2024-02-23T00:00:00,
i2336,c1137,start,2024-03-06T00:00:00,
i2310,c1143,start,2024-07-25T00:00:00,
i2187,c1107,view,2024-06-04T00:00:00,
i2303,c1140,view,2024-03-05T00:00:00,
i2190,c1152,start,2024-06-13T00:00:00,
i2024,c1136,start,2025-06-26T00:00:00,
i2469,c1114,view,2025-03-19T00:00:00,
i2021,c1133,view,2024-06-06T00:00:00,
i2229,c1158,view,2024-09-09T00:00:00,
i2398,c1081,complete,2024-11-03T00:00:00,1.0
i2428,c1176,start,2024-11-30T00:00:00,
i2122,c1084,view,2024-01-24T00:00:00,
i2285,c1187,start,2024-09-30T00:00:00,
i2309,c1123,rating,2025-09-25T00:00:00,3.12739233489885
i2159,c1171,view,2024-05-19T00:00:00,
i2498,c1090,view,2025-03-01T00:00:00,
i2074,c1027,view,2025-04-06T00:00:00,
i2234,c1134,complete,2024-06-16T00:00:00,1.0
i2385,c1084,view,2024-08-13T00:00:00,
i2407,c1061,start,2025-02-20T00:00:00,
i2057,c1006,start,2025-02-26T00:00:00,
i2197,c1148,start,2025-05-08T00:00:00,
i2272,c1163,view,2024-05-15T00:00:00,
i2480,c1011,view,2024-05-16T00:00:00,
i2059,c1015,view,2025-02-14T00:00:00,
i2194,c1008,start,2024-03-10T00:00:00,
i2102,c1183,complete,2025-05-03T00:00:00,1.0
i2278,c1188,start,2024-10-02T00:00:00,
i2268,c1010,view,2024-01-26T00:00:00,
i2343,c1107,view,2024-11-19T00:00:00,
i2107,c1021,start,2025-05-16T00:00:00,
i2158,c1066,view,2025-06-03T00:00:00,
i2194,c1040,view,2025-03-16T00:00:00,
i2484,c1046,view,2024-06-04T00:00:00,
i2428,c1005,view,2025-07-27T00:00:00,
i2317,c1036,complete,2025-08-13T00:00:00,1.0
i2054,c1040,view,2025-06-14T00:00:00,
i2306,c1183,view,2024-08-23T00:00:00,
i2294,c1096,view,2025-03-30T00:00:00,
i2311,c1196,start,2025-10-05T00:00:00,
i2282,c1083,view,2025-07-16T00:00:00,
i2224,c1075,view,2025-07-03T00:00:00,
i2485,c1049,view,2025-01-22T00:00:00,
i2050,c1113,view,2024-08-26T00:00:00,
i2080,c1143,start,2025-07-10T00:00:00,
i2321,c1077,rating,2024-07-12T00:00:00,4.072686877317301
i2460,c1040,view,2024-08-08T00:00:00,
i2310,c1143,view,2024-07-31T00:00:00,
i2238,c1075,start,2025-06-14T00:00:00,
i2304,c1066,view,2024-11-28T00:00:00,
i2412,c1035,view,2024-01-11T00:00:00,
i2108,c1183,start,2024-05-12T00:00:00,
i2113,c1192,view,2025-03-03T00:00:00,
i2190,c1136,complete,2024-03-08T00:00:00,1.0
i2396,c1185,view,2024-02-16T00:00:00,
i2186,c1030,view,2024-06-09T00:00:00,
i2055,c1172,view,2025-03-16T00:00:00,
i2167,c1107,view,2025-01-11T00:00:00,
i2415,c1197,view,2025-04-07T00:00:00,
i2159,c1060,view,2025-03-13T00:00:00,
i2455,c1103,start,2024-05-01T00:00:00,
i2395,c1135,view,2024-02-06T00:00:00,
i2392,c1173,start,2024-04-24T00:00:00,
i2466,c1015,view,2024-07-22T00:00:00,
i2097,c1175,view,2025-01-04T00:00:00,
i2389,c1048,view,2024-09-08T00:00:00,
i2475,c1021,start,2025-07-26T00:00:00,
i2318,c1008,view,2024-09-17T00:00:00,
i2499,c1048,view,2024-06-20T00:00:00,
i2211,c1127,view,2025-04-09T00:00:00,
i2032,c1153,view,2024-07-04T00:00:00,
i2300,c1166,start,2024-03-22T00:00:00,
i2334,c1017,view,2025-08-01T00:00:00,
i2130,c1184,view,2024-12-30T00:00:00,
i2134,c1149,complete,2024-02-20T00:00:00,1.0
i2028,c1057,start,2025-04-28T00:00:00,
i2148,c1063,rating,2024-11-08T00:00:00,5.0
i2328,c1022,view,2024-12-05T00:00:00,
i2036,c1069,view,2024-04-04T00:00:00,
i2052,c1180,view,2024-07-09T00:00:00,
i2073,c1073,rating,2024-12-07T00:00:00,3.754981734289565
i2463,c1043,view,2024-02-03T00:00:00,
i2210,c1068,view,2025-09-30T00:00:00,
i2367,c1001,view,2025-05-24T00:00:00,
i2294,c1079,start,2024-09-07T00:00:00,
i2309,c1025,start,2025-08-03T00:00:00,
i2357,c1149,view,2025-01-24T00:00:00,
i2478,c1131,start,2024-04-15T00:00:00,
i2343,c1107,start,2024-11-21T00:00:00,
i2125,c1077,view,2024-04-05T00:00:00,
i2014,c1062,start,2025-05-28T00:00:00,
i2420,c1104,view,2024-06-29T00:00:00,
i2264,c1074,rating,2025-07-26T00:00:00,4.45456583482935
i2488,c1175,view,2024-12-26T00:00:00,
i2489,c1040,view,2024-06-13T00:00:00,
i2384,c1197,view,2024-12-04T00:00:00,
i2039,c1118,view,2025-03-17T00:00:00,
i2158,c1096,complete,2024-07-04T00:00:00,1.0
i2108,c1018,view,2024-03-08T00:00:00,
i2106,c1016,view,2025-09-22T00:00:00,
i2058,c1197,rating,2024-11-22T00:00:00,5.0
i2035,c1155,view,2024-09-17T00:00:00,
i2425,c1096,view,2024-03-29T00:00:00,
i2234,c1174,view,2025-01-24T00:00:00,
i2404,c1174,start,2024-05-25T00:00:00,
i2007,c1169,view,2024-06-10T00:00:00,
i2263,c1168,view,2025-07-05T00:00:00,
i2370,c1123,view,2025-02-28T00:00:00,
i2281,c1110,view,2024-05-18T00:00:00,
i2417,c1103,view,2025-02-12T00:00:00,
i2284,c1133,view,2025-01-12T00:00:00,
i2274,c1125,view,2025-07-02T00:00:00,
i2079,c1057,view,2024-07-25T00:00:00,
i2343,c1094,start,2024-07-15T00:00:00,
i2343,c1120,view,2024-10-11T00:00:00,
i2228,c1023,view,2024-02-23T00:00:00,
i2307,c1097,view,2024-06-11T00:00:00,
i2301,c1167,start,2024-11-30T00:00:00,
i2222,c1112,view,2024-02-26T00:00:00,
i2423,c1033,rating,2024-06-24T00:00:00,4.397283426880086
i2116,c1148,complete,2024-03-14T00:00:00,1.0
i2313,c1144,view,2024-03-21T00:00:00,
i2099,c1139,view,2024-05-30T00:00:00,
i2392,c1016,rating,2024-02-25T00:00:00,3.6484753617275465
i2237,c1189,view,2025-01-19T00:00:00,
i2084,c1166,view,2025-04-12T00:00:00,
i2095,c1095,view,2024-07-29T00:00:00,
i2159,c1023,start,2024-04-30T00:00:00,
i2423,c1199,view,2024-07-14T00:00:00,
i2063,c1028,view,2024-11-11T00:00:00,
i2283,c1039,view,2024-05-05T00:00:00,
i2416,c1041,view,2024-09-05T00:00:00,
i2114,c1174,start,2024-02-15T00:00:00,
i2171,c1054,view,2025-03-19T00:00:00,
i2176,c1040,view,2024-06-28T00:00:00,
i2266,c1141,start,2025-05-12T00:00:00,
i2414,c1125,view,2025-09-23T00:00:00,
i2104,c1023,view,2025-09-01T00:00:00,
i2428,c1176,complete,2024-12-02T00:00:00,1.0
i2477,c1126,view,2025-01-18T00:00:00,
i2432,c1047,view,2025-06-06T00:00:00,
i2368,c1158,view,2024-06-21T00:00:00,
i2198,c1071,rating,2024-11-12T00:00:00,4.394730933872951
i2015,c1124,start,2024-01-11T00:00:00,
i2478,c1045,start,2025-03-18T00:00:00,
i2253,c1121,rating,2025-05-17T00:00:00,4.1343330808966625
i2141,c1009,view,2025-06-06T00:00:00,
i2484,c1189,start,2024-04-13T00:00:00,
i2013,c1074,complete,2024-07-23T00:00:00,1.0
i2451,c1048,start,2024-03-14T00:00:00,
i2468,c1093,view,2025-07-21T00:00:00,
i2045,c1002,view,2024-05-03T00:00:00,
i2076,c1005,view,2024-09-23T00:00:00,
i2119,c1156,view,2025-04-26T00:00:00,
i2010,c1012,view,2024-01-12T00:00:00,
i2194,c1057,view,2024-01-11T00:00:00,
i2382,c1164,view,2024-05-19T00:00:00,
i2391,c1145,rating,2025-02-12T00:00:00,5.0
i2087,c1128,start,2024-06-17T00:00:00,
i2341,c1120,rating,2025-03-29T00:00:00,3.5029906976026823
i2091,c1056,view,2024-02-08T00:00:00,
i2237,c1065,view,2024-08-22T00:00:00,
i2273,c1146,view,2025-09-09T00:00:00,
i2370,c1077,view,2024-11-14T00:00:00,
i2215,c1025,complete,2025-02-01T00:00:00,1.0
i2115,c1030,view,2025-03-13T00:00:00,
i2428,c1132,complete,2025-02-09T00:00:00,1.0
i2291,c1055,rating,2025-04-02T00:00:00,3.658899511942407
i2182,c1082,view,2025-05-28T00:00:00,
i2027,c1035,view,2025-01-18T00:00:00,
i2174,c1103,complete,2024-08-05T00:00:00,1.0
i2412,c1013,complete,2024-01-21T00:00:00,1.0
i2062,c1024,view,2025-01-01T00:00:00,
i2236,c1089,view,2025-02-01T00:00:00,
i2285,c1177,view,2024-10-31T00:00:00,
i2272,c1051,view,2025-08-05T00:00:00,
i2492,c1109,view,2025-08-05T00:00:00,
i2033,c1134,rating,2024-03-12T00:00:00,4.020261676957955
i2278,c1002,complete,2024-05-23T00:00:00,1.0
i2055,c1036,view,2024-02-19T00:00:00,
i2417,c1113,complete,2025-09-22T00:00:00,1.0
i2452,c1157,view,2025-03-08T00:00:00,
i2122,c1105,start,2025-09-04T00:00:00,
i2376,c1038,view,2025-09-12T00:00:00,
i2234,c1174,start,2025-01-14T00:00:00,
i2223,c1138,view,2025-06-30T00:00:00,
i2292,c1184,start,2024-04-03T00:00:00,
i2495,c1018,view,2025-03-23T00:00:00,
i2480,c1049,view,2025-05-29T00:00:00,
i2433,c1020,view,2024-12-12T00:00:00,
i2324,c1069,view,2025-02-22T00:00:00,
i2195,c1131,view,2024-12-29T00:00:00,
i2299,c1062,start,2025-09-20T00:00:00,
i2367,c1001,view,2025-05-25T00:00:00,
i2024,c1007,view,2024-10-13T00:00:00,
i2165,c1180,view,2024-09-21T00:00:00,
i2044,c1152,view,2024-07-24T00:00:00,
i2485,c1049,view,2025-01-28T00:00:00,
i2259,c1099,start,2024-05-31T00:00:00,
i2233,c1160,start,2024-12-24T00:00:00,
i2217,c1118,view,2024-04-04T00:00:00,
i2154,c1083,view,2024-07-01T00:00:00,
i2434,c1119,start,2025-07-13T00:00:00,
i2145,c1086,view,2025-03-10T00:00:00,
i2488,c1056,view,2025-04-05T00:00:00,
i2095,c1083,complete,2024-12-12T00:00:00,1.0
i2180,c1145,rating,2024-05-26T00:00:00,4.472257804748741
i2417,c1167,view,2024-10-31T00:00:00,
i2354,c1030,start,2024-09-10T00:00:00,
i2229,c1176,view,2024-07-28T00:00:00,
i2192,c1071,start,2024-01-28T00:00:00,
i2159,c1090,view,2024-05-28T00:00:00,
i2158,c1053,start,2024-02-27T00:00:00,
i2459,c1083,view,2024-09-01T00:00:00,
i2036,c1151,view,2024-04-19T00:00:00,
i2487,c1056,view,2025-06-17T00:00:00,
i2262,c1012,view,2024-03-01T00:00:00,
i2027,c1102,view,2025-09-29T00:00:00,
i2123,c1063,view,2024-04-18T00:00:00,
i2360,c1028,view,2025-09-30T00:00:00,
i2339,c1199,complete,2024-06-20T00:00:00,1.0
i2473,c1124,view,2024-04-03T00:00:00,
i2347,c1064,start,2024-06-19T00:00:00,
i2392,c1198,view,2024-04-19T00:00:00,
i2049,c1183,start,2024-08-23T00:00:00,
i2427,c1156,complete,2024-08-06T00:00:00,1.0
i2097,c1136,view,2024-03-23T00:00:00,
i2494,c1118,view,2024-02-16T00:00:00,
i2278,c1036,view,2025-07-18T00:00:00,
i2203,c1184,view,2024-04-18T00:00:00,
i2417,c1005,start,2025-09-05T00:00:00,
i2460,c1095,start,2024-02-08T00:00:00,
i2107,c1104,view,2024-11-10T00:00:00,
i2192,c1043,rating,2025-05-11T00:00:00,3.8798019759499045
i2259,c1149,view,2024-03-20T00:00:00,
i2191,c1069,complete,2025-10-02T00:00:00,1.0
i2375,c1155,view,2025-01-10T00:00:00,
i2349,c1193,complete,2024-10-05T00:00:00,1.0
i2226,c1142,view,2025-04-05T00:00:00,
i2322,c1190,view,2025-03-01T00:00:00,
i2001,c1083,view,2025-09-18T00:00:00,
i2059,c1049,start,2024-09-09T00:00:00,
i2095,c1095,view,2024-07-30T00:00:00,
i2011,c1023,view,2024-08-15T00:00:00,
i2492,c1163,view,2024-10-01T00:00:00,
i2250,c1171,view,2025-04-02T00:00:00,
i2018,c1062,view,2024-06-04T00:00:00,
i2383,c1058,view,2024-03-30T00:00:00,
i2315,c1065,view,2024-02-15T00:00:00,
i2046,c1177,view,2025-04-07T00:00:00,
i2466,c1002,view,2024-05-18T00:00:00,
i2385,c1156,view,2024-11-10T00:00:00,
i2357,c1017,view,2024-09-07T00:00:00,
i2361,c1138,view,2024-08-09T00:00:00,
i2030,c1009,rating,2024-01-28T00:00:00,2.94863995493482
i2461,c1092,view,2024-12-13T00:00:00,
i2190,c1046,view,2024-04-30T00:00:00,
i2381,c1039,view,2024-09-05T00:00:00,
i2029,c1075,start,2025-05-22T00:00:00,
i2242,c1132,rating,2025-07-12T00:00:00,5.0
i2215,c1177,complete,2025-07-05T00:00:00,1.0
i2186,c1132,view,2025-01-21T00:00:00,
i2303,c1144,start,2024-03-13T00:00:00,
i2473,c1197,view,2025-06-28T00:00:00,
i2237,c1189,view,2025-01-12T00:00:00,
i2388,c1179,view,2024-10-25T00:00:00,
i2190,c1197,view,2024-08-12T00:00:00,
i2498,c1181,view,2024-08-24T00:00:00,
i2075,c1184,start,2024-08-24T00:00:00,
i2495,c1142,start,2025-09-24T00:00:00,
i2098,c1178,complete,2025-09-13T00:00:00,1.0
i2237,c1043,start,2024-05-20T00:00:00,
i2172,c1165,start,2025-07-28T00:00:00,
i2004,c1058,view,2025-02-13T00:00:00,
i2293,c1194,view,2024-04-17T00:00:00,
i2022,c1197,view,2024-02-01T00:00:00,
i2419,c1038,view,2025-09-28T00:00:00,
i2045,c1026,view,2024-07-14T00:00:00,
i2424,c1010,view,2024-06-02T00:00:00,
i2217,c1041,view,2025-03-13T00:00:00,
i2439,c1165,view,2024-11-15T00:00:00,
i2189,c1052,view,2024-02-22T00:00:00,
i2143,c1172,view,2024-11-14T00:00:00,
i2329,c1017,view,2024-06-01T00:00:00,
i2210,c1076,view,2025-07-26T00:00:00,
i2381,c1045,start,2025-05-28T00:00:00,
